id,kategorija,stavka,redosled,aktivna
1,BEZBEDNOST,Proverena lična zaštitna oprema (rukavice, naočari, obuća),1,DA
2,BEZBEDNOST,Radno mesto je čisto i bez prepreka,2,DA
3,OPREMA,Mašina/alat je ispravan i spreman za rad,3,DA
4,OPREMA,Merila su dostupna i kalibrisana,4,DA
5,DOKUMENTACIJA,Radni nalog i crtež dela su dostupni,5,DA
6,DOKUMENTACIJA,SOP / uputstvo za kontrolu je pročitano,6,DA
7,MATERIJAL,Materijal i delovi odgovaraju radnom nalogu,7,DA
8,KVALITET,Prethodna smena ostavila napomenu — provereno,8,DA
