id,kategorija,podkategorija,defekt
MRAP1-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,"Curenje tečnosti na spojevima (menjač, karter), , ,"
MRAP1-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,labave zaštitne plastike (šuspleh)
MRAP1-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,korozija na spojevima
MRAP1-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,loše zategnuti elementi oslanjanja.
MRAP1-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,"Ogrebotine na alu-felnama, ,"
MRAP1-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,"pogrešan smer rotacije gume,"
MRAP1-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,nedovoljan pritisak
MRAP1-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,nedostatak kapica na ventilima.
